RED- BR,Znanstveno ime,Hrvatsko ime,Englesko ime,Nazočnost,Redovitost,Gnjezdarica,Preletnica,Zimovalica,Status ugroženosti gnijezdeće populacije,Kriterij ugroženosti (GN),Status ugroženosti na globalnoj razini,Bern,Bonn ,EU dir
261,Anthus cervinus,rusogrla trepteljka,Red-throated Pipit,A,Ir, -,M*, -, -,,LC,II,,
262,Anthus trivialis,prugasta trepteljka,Tree Pipit,A,R,B,M, -,LC,-,LC,II,,
263,Anthus spinoletta,planinska trepteljka,Water Pipit,A,R,B,M,W,LC,-,LC,II,,
264,Motacilla alba,bijela pastirica,White Wagtail,A,R,B,M,W,LC,-,LC,II,,
265,Motacilla flava,žuta pastirica,Yellow Wagtail,A,R,B,M, -,LC,-,LC,II,,
266,Motacilla citreola,limunasta pastirica,Citrine Wagtail,A,Rare, -, -, -, -,,LC,II,,
267,Motacilla cinerea,gorska pastirica,Grey Wagtail,A,R,B,M,W,LC,-,LC,II,,
268,Bombycilla garrulus,kugara,Bohemian Waxwing,A,Ir, -, -,W*, -,,LC,II,,
269,Cinclus cinclus,vodenkos,White-throated Dipper,A,R,B, -, -,LC,-,LC,II,,
270,Troglodytes troglodytes,palčić,Winter Wren,A,R,B,M,W,LC,-,LC,II,,
271,Prunella collaris,alpski popić,Alpine Accentor,A,R,B, -, -,LC*,-,LC,II,,
272,Prunella atrogularis,crnobradi popić,Black-throated Accentor,A,Rare, -, -, -, -,,LC,III,,
273,Prunella modularis,sivi popić,Hedge Accentor,A,R,B,M,W,LC,-,LC,II,,
274,Turdus viscivorus,drozd imelaš,Mistle Thrush,A,R,B,M,W,LC,-,LC,lll,ll,II-B 
275,Turdus philomelos,drozd cikelj,Song Thrush,A,R,B,M,W,LC,-,LC,lll,ll,II-B 
276,Turdus iliacus,mali drozd,Redwing,A,R, -,M,W, -,,LC,lll,ll,II-B 
277,Turdus pilaris,drozd bravenjak,Fieldfare,A,R,B,M,W,NA,-,LC,lll,ll,II-B 
278,Turdus eunomus,šareni drozd,Dusky Thrush,B,, -, -, -, -,,UR,,,
279,Turdus merula,kos,Eurasian Blackbird,A,R,B,M,W,LC,-,LC,lll,ll,II-B 
280,Turdus torquatus,planinski kos,Ring Ouzel,A,R,B,M,W,LC*,-,LC,II,ll,
281,Monticola saxatilis,kamenjar,Rufous-tailed Rock-thrush,A,R,B,M, -,LC,-,LC,II,ll,
282,Monticola solitarius,modrokos,Blue Rock-thrush,A,R,B, -, -,LC,-,LC,II,ll,
283,Luscinia luscinia,mrki slavuj,Thrush Nightingale,A,R, -,M, -, -,,LC,II,ll,
284,Luscinia megarhynchos,slavuj,Common Nightingale,A,R,B,M, -,LC,-,LC,II,ll,
285,Luscinia svecica,modrovoljka,Bluethroat,A,R,B,M, -,EN,D,LC,II,ll,I
286,Erithacus rubecula,crvendać,European Robin,A,R,B,M,W,LC,-,LC,II,ll,
287,Erythropygia galactotes,živičnjak,Rufous-tailed Scrub-robin,A,Ac, -, -, -, -,,LC,ll ,ll,
288,Phoenicurus ochruros,mrka crvenrepka,Black Redstart,A,R,B,M,W,LC,-,LC,II,ll,
289,Phoenicurus phoenicurus,šumska crvenrepka,Common Redstart,A,R,B,M, -,LC,-,LC,II,ll,
290,Saxicola rubetra,smeđoglavi batić,Whinchat,A,R,B,M, -,LC,-,LC,II,ll,
291,Saxicola torquatus,crnoglava batić,Common Stonechat,A,R,B,M,W,LC,-,LC,II,ll,
292,Oenanthe oenanthe,sivkasta bjeloguza,Northern Wheatear,A,R,B,M, -,LC,-,LC,II,ll,
293,Oenanthe pleschanka,dvobojna bjeloguza,Pied Wheatear,A,Rare, -, -, -, -,,LC,II,ll,I
294,Oenanthe hispanica,primorska bjeloguza,Black-eared Wheatear,A,R,B, -, -,LC,-,LC,II,ll,
295,Oenanthe isabellina,azijska bjeloguza,Isabelline Wheatear,A,Rare, -, -, -, -,,LC,,,
296,Muscicapa striata,muharica,Spotted Flycatcher,A,R,B,M, -,LC,-,LC,II,ll,
297,Ficedula hypoleuca,crnoglava muharica,European Pied Flycatcher,A,R, -,M, -, -,,LC,II,ll,
298,Ficedula albicollis,bjelovrata muharica,Collared Flycatcher,A,R,B,M, -,LC,-,LC,II,ll,I
299,Ficedula semitorquata,sirijska muharica,Semi-collared Flycatcher,B,, -, -, -, -,,NT,,,I
300,Ficedula parva,mala muharica,Red-breasted Flycatcher,A,R,B,M, -,LC*,-,LC,II,ll,I
301,Regulus ignicapilla,vatroglavi kraljić,Firecrest,A,R,B,M,W,LC,-,LC,II,ll,
302,Regulus regulus,zlatoglavi kraljić,Goldcrest,A,R,B,M,W,LC,-,LC,II,ll,
303,Cisticola juncidis,šivalica,Zitting Cisticola,A,R,B, -, -,LC*,-,LC,II,ll,
304,Cettia cetti,svilorepa,Cetti's Warbler,A,R,B, -, -,LC,-,LC,II,ll,
305,Locustella naevia,pjegavi cvrčić,Common Grasshopper-warbler,A,R,B,M, -,NT*,-,LC,II,ll,
306,Locustella fluviatilis,cvrčić potočar,Eurasian River Warbler,A,R,B,M, -,LC,-,LC,II,ll,
307,Locustella luscinioides,veliki cvrčić,Savi's Warbler,A,R,B,M, -,LC,-,LC,II,ll,
